Studytime,score
6.25,131.46
8.97,267.34
7.76,206.01
2.25,31.81
3.0,40.47
8.74,258.59
0.05,8.19
8.21,226.38
7.97,216.83
4.68,87.28
3.03,40.24
2.78,35.85
2.55,31.94
4.45,76.66
5.05,90.86
5.53,115.09
9.96,323.61
7.93,214.2
6.22,133.27
9.89,322.63
2.15,27.78
1.6,17.22
6.13,140.9
0.44,10.94
0.36,16.2
5.15,101.67
4.66,79.88
9.17,277.17
6.29,141.11
5.14,97.82
4.97,92.2
2.48,30.18
0.12,1.04
1.92,22.05
6.92,156.64
2.01,25.57
3.7,53.45
0.04,5.22
8.3,230.42
1.54,19.34
2.68,29.11
8.8,251.11
5.1,91.9
8.47,232.08
6.4,139.7
7.42,194.27
0.91,8.12
5.41,109.28
5.08,90.02
8.71,254.39
3.61,53.1
5.98,127.07
0.59,12.51
3.88,67.86
3.23,46.55
1.5,18.27
8.16,220.36
3.79,61.12
9.79,313.97
5.9,127.55
6.05,129.75
6.38,149.84
6.76,150.87
1.51,16.65
4.4,78.49
2.4,28.61
4.02,61.48
0.97,11.68
9.68,302.84
2.15,26.64
6.72,166.58
3.0,45.66
8.74,250.25
6.62,149.31
1.32,14.21
8.45,243.16
9.45,291.49
9.04,268.44
5.7,120.31
1.45,20.72
1.92,21.47
9.28,280.39
5.52,104.37
1.81,18.59
8.84,251.23
6.42,147.31
5.7,114.24
3.76,59.93
4.11,74.36
2.39,34.69
0.38,4.59
8.76,259.33
4.68,87.62
5.48,105.94
3.22,41.77
7.51,191.93
0.25,2.29
3.72,62.88
0.3,-0.74
1.23,10.56
9.67,306.88
6.58,150.04
4.28,72.24
5.24,101.85
8.73,253.14
3.44,54.98
5.9,115.78
6.84,161.9
3.55,50.15
5.19,99.75
7.65,199.87
9.09,270.52
1.51,15.3
9.33,291.22
0.05,9.51
7.53,190.43
8.11,229.46
1.37,25.58
4.19,63.17
8.15,224.91
0.14,18.38
6.28,142.19
7.93,213.41
5.13,96.38
7.26,178.41
2.26,27.06
1.99,21.59
3.63,57.8
1.79,19.65
